Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Cabbages,Ext Bag,126,KES2034.00,7/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES544.00,7/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES582.00,7/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,KES4534.00,7/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,KES2602.00,7/1/2012 0:00
Horticulture,Onions Dry,net,13,KES1004.00,7/1/2012 0:00
Horticulture,Spring Onions,Bag,142,KES2103.00,7/1/2012 0:00
Horticulture,Chillies,Bag,38,KES2785.00,7/1/2012 0:00
Horticulture,Cucumber,Bag,50,KES1917.00,7/1/2012 0:00
Horticulture,Capsicums,Bag,50,KES2552.00,7/1/2012 0:00
Horticulture,Brinjals,Bag,44,KES1592.00,7/1/2012 0:00
Horticulture,Cauliflower,crate,39,KES2744.00,7/1/2012 0:00
Horticulture,Lettuce,Bag,51,KES3563.00,7/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,KES3726.00,7/1/2012 0:00
Horticulture,Oranges,Bag,93,KES2413.00,7/1/2012 0:00
Horticulture,Lemons,Bag,95,KES1695.00,7/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,KES1750.00,7/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1063.00,7/1/2012 0:00
Horticulture,Limes,net,13,KES602.00,7/1/2012 0:00
Horticulture,Pineapples,Dozen,13,KES831.00,7/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,KES1432.00,7/1/2012 0:00
Horticulture,Avocado,Bag,90,KES1741.00,7/1/2012 0:00
Horticulture,Kales,Bag,50,KES824.00,7/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,KES1905.00,8/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES572.00,8/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES542.00,8/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,KES3850.00,8/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,KES2576.00,8/1/2012 0:00
Horticulture,Onions Dry,net,13,KES887.00,8/1/2012 0:00
Horticulture,Spring Onions,Bag,142,KES1975.00,8/1/2012 0:00
Horticulture,Chillies,Bag,38,KES2652.00,8/1/2012 0:00
Horticulture,Cucumber,Bag,50,KES1572.00,8/1/2012 0:00
Horticulture,Capsicums,Bag,50,KES2769.00,8/1/2012 0:00
Horticulture,Brinjals,Bag,44,KES1544.00,8/1/2012 0:00
Horticulture,Cauliflower,crate,39,KES2408.00,8/1/2012 0:00
Horticulture,Lettuce,Bag,51,KES4246.00,8/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,KES3291.00,8/1/2012 0:00
Horticulture,Oranges,Bag,93,KES2736.00,8/1/2012 0:00
Horticulture,Lemons,Bag,95,KES1749.00,8/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,KES1791.00,8/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1013.00,8/1/2012 0:00
Horticulture,Limes,net,13,KES817.00,8/1/2012 0:00
Horticulture,Pineapples,Dozen,13,KES698.00,8/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,KES1388.00,8/1/2012 0:00
Horticulture,Avocado,Bag,90,KES1634.00,8/1/2012 0:00
Horticulture,Kales,Bag,50,KES682.00,8/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,KES1792.00,9/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES571.00,9/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES573.00,9/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,KES3261.00,9/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,KES2602.00,9/1/2012 0:00
Horticulture,Onions Dry,net,13,KES1018.00,9/1/2012 0:00
Horticulture,Spring Onions,Bag,142,KES2097.00,9/1/2012 0:00
Horticulture,Chillies,Bag,38,KES3783.00,9/1/2012 0:00
Horticulture,Cucumber,Bag,50,KES1735.00,9/1/2012 0:00
Horticulture,Capsicums,Bag,50,KES2674.00,9/1/2012 0:00
Horticulture,Brinjals,Bag,44,KES1474.00,9/1/2012 0:00
Horticulture,Cauliflower,crate,39,KES2087.00,9/1/2012 0:00
Horticulture,Lettuce,Bag,51,KES4983.00,9/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,KES3536.00,9/1/2012 0:00
Horticulture,Oranges,Bag,93,KES3163.00,9/1/2012 0:00
Horticulture,Lemons,Bag,95,KES1374.00,9/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,KES2013.00,9/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES932.00,9/1/2012 0:00
Horticulture,Limes,net,13,KES626.00,9/1/2012 0:00
Horticulture,Pineapples,Dozen,13,KES935.00,9/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,KES1715.00,9/1/2012 0:00
Horticulture,Avocado,Bag,90,KES1975.00,9/1/2012 0:00
Horticulture,Kales,Bag,50,KES764.00,9/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,KES1643.00,10/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES626.00,10/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES636.00,10/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,KES2778.00,10/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,KES2576.00,10/1/2012 0:00
Horticulture,Onions Dry,net,13,KES819.00,10/1/2012 0:00
Horticulture,Spring Onions,Bag,142,KES1852.00,10/1/2012 0:00
Horticulture,Chillies,Bag,38,KES2592.00,10/1/2012 0:00
Horticulture,Cucumber,Bag,50,KES2020.00,10/1/2012 0:00
Horticulture,Capsicums,Bag,50,KES2439.00,10/1/2012 0:00
Horticulture,Brinjals,Bag,44,KES1386.00,10/1/2012 0:00
Horticulture,Cauliflower,crate,39,KES1883.00,10/1/2012 0:00
Horticulture,Lettuce,Bag,51,KES4944.00,10/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,KES3429.00,10/1/2012 0:00
Horticulture,Oranges,Bag,93,KES3003.00,10/1/2012 0:00
Horticulture,Lemons,Bag,95,KES1455.00,10/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,KES1862.00,10/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1174.00,10/1/2012 0:00
Horticulture,Limes,net,13,KES680.00,10/1/2012 0:00
Horticulture,Pineapples,Dozen,13,KES841.00,10/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,KES1431.00,10/1/2012 0:00
Horticulture,Avocado,Bag,90,KES1860.00,10/1/2012 0:00
Horticulture,Kales,Bag,50,KES749.00,10/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,KES1410.00,11/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES548.00,11/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES593.00,11/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,KES2515.00,11/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,KES3392.00,11/1/2012 0:00
Horticulture,Onions Dry,net,13,KES907.00,11/1/2012 0:00
Horticulture,Spring Onions,Bag,142,KES2015.00,11/1/2012 0:00
Horticulture,Chillies,Bag,38,KES2387.00,11/1/2012 0:00
Horticulture,Cucumber,Bag,50,KES1756.00,11/1/2012 0:00
Horticulture,Capsicums,Bag,50,KES2088.00,11/1/2012 0:00
Horticulture,Brinjals,Bag,44,KES1325.00,11/1/2012 0:00
Horticulture,Cauliflower,crate,39,KES1364.00,11/1/2012 0:00
Horticulture,Lettuce,Bag,51,KES2182.00,11/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,KES3505.00,11/1/2012 0:00
Horticulture,Oranges,Bag,93,KES2678.00,11/1/2012 0:00
Horticulture,Lemons,Bag,95,KES1546.00,11/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,KES1807.00,11/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES875.00,11/1/2012 0:00
Horticulture,Limes,net,13,KES847.00,11/1/2012 0:00
Horticulture,Pineapples,Dozen,13,KES778.00,11/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,KES1298.00,11/1/2012 0:00
Horticulture,Avocado,Bag,90,KES1847.00,11/1/2012 0:00
Horticulture,Kales,Bag,50,KES670.00,11/1/2012 0:00
Horticulture,Cabbages,Ext Bag,126,KES1504.00,12/1/2012 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES547.00,12/1/2012 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES577.00,12/1/2012 0:00
Horticulture,Carrots,Ext Bag,138,KES2507.00,12/1/2012 0:00
Horticulture,Tomatoes,Lg Box,64,KES3348.00,12/1/2012 0:00
Horticulture,Onions Dry,net,13,KES900.00,12/1/2012 0:00
Horticulture,Spring Onions,Bag,142,KES2390.00,12/1/2012 0:00
Horticulture,Chillies,Bag,38,KES3300.00,12/1/2012 0:00
Horticulture,Cucumber,Bag,50,KES1861.00,12/1/2012 0:00
Horticulture,Capsicums,Bag,50,KES2222.00,12/1/2012 0:00
Horticulture,Brinjals,Bag,44,KES1427.00,12/1/2012 0:00
Horticulture,Cauliflower,crate,39,KES1993.00,12/1/2012 0:00
Horticulture,Lettuce,Bag,51,KES3932.00,12/1/2012 0:00
Horticulture,Passion Fruits,Bag,57,KES3548.00,12/1/2012 0:00
Horticulture,Oranges,Bag,93,KES2877.00,12/1/2012 0:00
Horticulture,Lemons,Bag,95,KES1911.00,12/1/2012 0:00
Horticulture,Mangoes Local,Bag,126,KES2124.00,12/1/2012 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES912.00,12/1/2012 0:00
Horticulture,Limes,net,13,KES728.00,12/1/2012 0:00
Horticulture,Pineapples,Dozen,13,KES727.00,12/1/2012 0:00
Horticulture,Pawpaw,Lg Box,54,KES1611.00,12/1/2012 0:00
Horticulture,Avocado,Bag,90,KES2255.00,12/1/2012 0:00
